oiltypeid,oilgradeid,oilhours,machinehours,PQI,Fe,Cu,Cr,Pb,Ni,Al,Si,Na,K,Mo,B,Ba,Mg,Ca,Zn,P,Ag,Mn,V,Ti,Cd,H2O,F,V40,OXI,NIT,SUL,ISO6,ISO14,X6,X10,X14,X21,X25,X38,X70
2-1,75W-90,728.0,8706,0,1 to 192,<1,<1,1 to 17,<1,<1,1 to 12,1 to 98,<1,<1,394 to 525,<1,856 to 1140,1 to 1129,1 to 366,1540,<1,<1,<1,<1,<1,0.0,N,82.4,55,4,59,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,435.0,3712,3,1 to 192,1 to 71,<1,1 to 17,<1,<1,1 to 12,1 to 98,<1,43 to 58,1 to 132,<1,571 to 856,1129 to 2257,1096 to 1462,1012,<1,<1,<1,<1,<1,0.0,N,104.9,12,7,18,,,,,,,,,
2-1,75W-90,224.0,7853,17,1 to 192,1 to 71,<1,<1,<1,1 to 37,1 to 12,1 to 98,3,<1,263 to 394,<1,571 to 856,1 to 1129,1 to 366,1423,<1,<1,<1,<1,<1,0.0,N,94.4,43,4,50,18 to 23,18 to 22,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,341.0,8319,0,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,3,<1,1 to 132,<1,<1,1 to 1129,1 to 366,896,<1,<1,<1,<1,<1,0.0,N,315.1,6,5,16,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,187.0,8473,0,1 to 192,1 to 71,<1,1 to 17,<1,<1,1 to 12,1 to 98,<1,43 to 58,<1,<1,571 to 856,1129 to 2257,1096 to 1462,1048,<1,<1,<1,<1,<1,0.0,N,100.9,13,8,18,,,,,,,,,
1-1,30,506.0,7726,5,1 to 192,141 to 211,<1,<1,<1,1 to 37,1 to 12,1 to 98,2,1 to 15,1 to 132,<1,1 to 286,2257 to 3385,731 to 1096,957,2,<1,<1,<1,<1,0.0,N,94.8,18,4,22,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,1242.0,9095,10,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,<1,<1,1 to 132,<1,<1,1 to 1129,1 to 366,782,<1,<1,<1,<1,<1,0.0,N,325.0,6,4,15,18 to 23,12 to 18,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-1,75W-90,871.0,8724,19,1 to 192,1 to 71,<1,<1,<1,1 to 37,1 to 12,<1,2,<1,394 to 525,<1,571 to 856,1 to 1129,1 to 366,1412,<1,<1,<1,<1,<1,0.0,N,96.7,56,4,59,18 to 23,12 to 18,30186 to 45279,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,179.0,8548,1,1 to 192,1 to 71,1,1 to 17,<1,<1,<1,1 to 98,<1,43 to 58,<1,<1,856 to 1140,1129 to 2257,1096 to 1462,1055,<1,<1,<1,<1,<1,0.0,N,115.2,15,9,21,,,,,,,,,
1-3,85W-140,241.0,241,371,1 to 192,1 to 71,<1,<1,<1,<1,1 to 12,1 to 98,2,<1,1 to 132,<1,1 to 286,1 to 1129,1 to 366,1014,<1,1,<1,<1,<1,0.0,N,341.6,5,4,16,18 to 23,18 to 22,0 to 15093,0 to 9806,0 to 7782,0 to 4462,1613 to 3226,145 to 290,0 to 16
1-1,30,941.0,8952,0,1 to 192,1 to 71,<1,<1,<1,<1,1 to 12,1 to 98,<1,<1,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,891,2,<1,<1,<1,<1,0.0,N,97.8,15,4,20,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,315.0,9021,3,1 to 192,1 to 71,<1,1 to 17,<1,<1,1 to 12,1 to 98,1,43 to 58,1 to 132,<1,571 to 856,1 to 1129,731 to 1096,915,<1,<1,<1,<1,<1,0.0,N,105.2,13,8,18,,,,,,,,,
1-3,85W-140,769.0,4046,20,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,2,<1,1 to 132,<1,<1,1 to 1129,1 to 366,796,<1,<1,<1,<1,<1,0.0,N,327.4,6,5,16,18 to 23,18 to 22,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-1,30,960.0,7965,0,1 to 192,1 to 71,<1,<1,<1,1 to 37,12 to 23,1 to 98,1,<1,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,854,<1,<1,<1,<1,<1,0.0,N,102.7,9,4,14,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-1,30,728.0,8706,0,1 to 192,1 to 71,<1,<1,<1,<1,1 to 12,<1,<1,<1,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,835,<1,<1,<1,<1,<1,0.0,N,103.1,10,4,14,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,619.0,5000,4,1 to 192,1 to 71,1,1 to 17,<1,<1,1 to 12,1 to 98,<1,43 to 58,<1,<1,571 to 856,1129 to 2257,1096 to 1462,1012,<1,<1,<1,<1,<1,0.0,N,109.8,14,9,21,,,,,,,,,
2-2,15W-40,241.0,10304,3,1 to 192,1 to 71,<1,1 to 17,<1,<1,1 to 12,1 to 98,<1,43 to 58,1 to 132,<1,571 to 856,1129 to 2257,1096 to 1462,998,<1,<1,<1,<1,<1,0.0,P,87.1,14,8,19,,,,,,,,,
1-3,85W-140,941.0,8952,11,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,<1,<1,1 to 132,<1,<1,1 to 1129,1 to 366,746,<1,<1,<1,<1,<1,0.0,N,316.3,6,5,16,18 to 23,12 to 18,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-1,75W-90,349.0,2793,94,192 to 383,1 to 71,3,17 to 33,7 to 13,1 to 37,12 to 23,98 to 195,<1,<1,394 to 525,<1,856 to 1140,1 to 1129,1 to 366,1509,<1,<1,<1,<1,<1,0.0,N,85.3,59,4,63,18 to 23,18 to 22,45279 to 60372,19612 to 29418,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,400.0,9323,4,1 to 192,1 to 71,1,1 to 17,<1,<1,1 to 12,1 to 98,<1,43 to 58,1 to 132,<1,856 to 1140,1129 to 2257,1096 to 1462,1106,<1,<1,<1,<1,<1,0.0,N,116.9,14,8,19,,,,,,,,,
1-1,30,547.0,9095,3,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,<1,1 to 15,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,834,<1,<1,<1,<1,<1,0.0,N,98.5,11,4,15,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,410.0,9382,50,1 to 192,1 to 71,<1,1 to 17,<1,1 to 37,12 to 23,1 to 98,<1,<1,1 to 132,<1,1 to 286,1 to 1129,1 to 366,748,<1,2,<1,<1,<1,0.0,N,321.6,7,5,16,18 to 23,18 to 22,30186 to 45279,9806 to 19612,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-1,30,479.0,8952,0,1 to 192,<1,<1,<1,<1,1 to 37,1 to 12,1 to 98,<1,<1,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,806,<1,<1,<1,<1,<1,0.0,N,115.5,10,4,15,12 to 18,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,239.0,3032,9,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,1,<1,1 to 132,<1,<1,1 to 1129,1 to 366,773,<1,<1,<1,<1,<1,0.0,N,329.7,6,5,17,18 to 23,18 to 22,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,985.0,10106,25,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,<1,<1,1 to 132,<1,<1,1 to 1129,1 to 366,802,<1,<1,<1,<1,<1,0.0,N,303.7,6,5,16,18 to 23,18 to 22,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,361.0,7853,0,1 to 192,1 to 71,3,1 to 17,<1,<1,1 to 12,1 to 98,2,43 to 58,1 to 132,<1,856 to 1140,1129 to 2257,1096 to 1462,1166,<1,<1,<1,<1,<1,0.0,N,98.1,16,10,22,,,,,,,,,
1-1,30,601.0,7741,0,1 to 192,1 to 71,<1,1 to 17,<1,<1,1 to 12,<1,<1,<1,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,811,<1,<1,<1,<1,<1,0.0,N,94.1,11,5,15,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,456.0,7492,0,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,<1,<1,1 to 132,<1,<1,1 to 1129,1 to 366,790,<1,<1,<1,<1,<1,0.0,N,311.5,6,5,16,18 to 23,12 to 18,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-1,30,661.0,2793,0,1 to 192,1 to 71,<1,1 to 17,1 to 7,1 to 37,1 to 12,1 to 98,<1,1 to 15,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,819,4,<1,<1,<1,<1,0.0,N,100.1,10,4,15,12 to 18,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,,3402,0,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,<1,43 to 58,1 to 132,<1,571 to 856,1 to 1129,1096 to 1462,980,<1,<1,<1,<1,<1,0.0,N,107.0,11,6,16,,,,,,,,,
2-2,15W-40,172.0,10106,4,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,1,43 to 58,<1,<1,571 to 856,1129 to 2257,1096 to 1462,1025,<1,<1,<1,<1,<1,0.0,N,107.2,11,6,15,,,,,,,,,
1-3,85W-140,866.0,10304,0,1 to 192,<1,<1,<1,<1,<1,1 to 12,<1,<1,<1,1 to 132,<1,<1,1 to 1129,1 to 366,736,<1,<1,<1,<1,<1,0.0,N,319.2,7,5,16,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-1,30,693.0,8986,3,1 to 192,<1,<1,1 to 17,<1,1 to 37,1 to 12,1 to 98,1,<1,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,824,<1,<1,<1,<1,<1,0.0,N,106.4,11,4,16,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,869.0,7726,12,1 to 192,1 to 71,<1,<1,<1,<1,1 to 12,1 to 98,2,<1,1 to 132,<1,1 to 286,1 to 1129,1 to 366,757,<1,<1,<1,<1,<1,0.0,N,326.1,7,5,17,18 to 23,18 to 22,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,343.0,9438,3,1 to 192,1 to 71,1,1 to 17,<1,<1,1 to 12,1 to 98,<1,43 to 58,<1,<1,571 to 856,1129 to 2257,1096 to 1462,1022,<1,<1,<1,<1,<1,0.0,N,96.4,17,10,22,,,,,,,,,
2-2,15W-40,303.0,9226,3,1 to 192,1 to 71,4,1 to 17,<1,<1,<1,1 to 98,<1,43 to 58,1 to 132,<1,856 to 1140,1129 to 2257,1096 to 1462,1080,<1,<1,<1,<1,<1,0.0,N,114.1,17,10,22,,,,,,,,,
1-3,85W-140,423.0,1509,23,1 to 192,1 to 71,<1,<1,<1,<1,1 to 12,<1,2,<1,1 to 132,<1,1 to 286,1 to 1129,1 to 366,854,<1,<1,<1,<1,<1,0.0,N,317.1,6,5,16,18 to 23,18 to 22,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-1,30,1158.0,10110,1,1 to 192,1 to 71,<1,<1,<1,1 to 37,12 to 23,1 to 98,<1,<1,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,810,<1,<1,<1,<1,<1,0.0,N,100.4,10,5,15,12 to 18,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-1,30,484.0,3277,1,<1,<1,<1,17 to 33,7 to 13,<1,1 to 12,1 to 98,<1,<1,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,827,<1,<1,<1,<1,<1,0.0,N,105.1,10,4,15,18 to 23,18 to 22,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,456.0,7492,0,1 to 192,1 to 71,1,1 to 17,<1,<1,1 to 12,<1,2,43 to 58,1 to 132,<1,856 to 1140,1129 to 2257,1096 to 1462,1068,<1,<1,<1,<1,<1,0.0,N,100.0,16,10,22,,,,,,,,,
2-1,75W-90,601.0,7741,5,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,<1,1 to 15,263 to 394,<1,571 to 856,1 to 1129,1 to 366,1369,<1,<1,<1,<1,<1,0.0,N,92.4,52,4,56,18 to 23,12 to 18,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,869.0,7726,59,1 to 192,1 to 71,<1,<1,<1,<1,1 to 12,1 to 98,2,<1,1 to 132,<1,<1,1 to 1129,1 to 366,748,<1,<1,<1,<1,<1,0.0,N,314.9,7,5,16,18 to 23,18 to 22,15093 to 30186,9806 to 19612,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,963.0,9915,31,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,<1,<1,1 to 132,<1,<1,1 to 1129,1 to 366,838,<1,<1,<1,<1,<1,0.0,N,320.7,6,4,15,18 to 23,18 to 22,15093 to 30186,9806 to 19612,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,415.0,9121,12,1 to 192,<1,<1,<1,<1,<1,1 to 12,<1,<1,<1,1 to 132,<1,<1,1 to 1129,1 to 366,771,<1,<1,<1,<1,<1,0.0,N,328.4,6,5,16,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-3,85W-140,462.0,8473,5,1 to 192,<1,<1,1 to 17,<1,<1,1 to 12,1 to 98,1,<1,1 to 132,<1,<1,1 to 1129,1 to 366,881,<1,<1,<1,<1,<1,0.0,N,316.8,6,4,16,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-1,75W-90,366.0,9318,3,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,2,<1,394 to 525,<1,856 to 1140,1 to 1129,1 to 366,1483,<1,<1,<1,<1,<1,0.0,N,86.1,57,4,62,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-1,30,1229.0,11163,366,1 to 192,1 to 71,<1,<1,<1,1 to 37,1 to 12,1 to 98,<1,1 to 15,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,829,<1,<1,<1,<1,<1,0.0,N,105.0,10,5,16,18 to 23,18 to 22,45279 to 60372,19612 to 29418,7782 to 15564,0 to 4462,1613 to 3226,145 to 290,48 to 62
2-1,75W-90,960.0,7965,15,1 to 192,<1,<1,1 to 17,<1,<1,1 to 12,1 to 98,2,<1,1 to 132,<1,1 to 286,1 to 1129,1 to 366,792,<1,<1,<1,<1,<1,0.0,N,302.6,6,4,16,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
1-1,30,817.0,7853,0,1 to 192,1 to 71,<1,<1,<1,1 to 37,1 to 12,1 to 98,1,<1,1 to 132,<1,1 to 286,3385 to 4514,731 to 1096,916,1,<1,<1,<1,<1,0.0,N,92.4,14,4,18,18 to 23,12 to 18,0 to 15093,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
2-2,15W-40,219.0,2242,0,1 to 192,<1,<1,1 to 17,<1,<1,1 to 12,1 to 98,1,43 to 58,1 to 132,<1,571 to 856,1129 to 2257,1096 to 1462,983,<1,<1,<1,<1,<1,0.0,N,108.9,12,7,18,,,,,,,,,
1-3,85W-140,484.0,3277,30,1 to 192,<1,<1,<1,<1,<1,1 to 12,1 to 98,<1,<1,1 to 132,<1,1 to 286,1 to 1129,1 to 366,753,<1,<1,<1,<1,<1,0.0,N,340.1,4,4,13,18 to 23,18 to 22,15093 to 30186,0 to 9806,0 to 7782,0 to 4462,0 to 1613,0 to 145,0 to 16
